Tipo de denúncia,Conexao,Local da agressão,Mensagem
1,1,Casa do casal,"O marido dela vive abusando ela com agressões físicas. Porém na semana passada ela quase morreu. Ela fez o Boletim de Ocorrência mas tem medo de denunciar o marido para a justiça. Por favor, ajudem ela."
1,1,Casa dos pais da vítima,A mulher da vitima vive ameaçando de relevar a orientação sexual da vitima para seus familiares (que são bastante religiosos e rígidos). Porém atualmente as ameaças vem se tornando cada vez mais próximas de serem físicas. A vítima mal sai de casa devido à pressão psicologica sofrida.
1,1,Escola Municipal St. Davi,"Leciono na escola e me ocorreu no último mês que a vítima vem sofrendo abusos físicos do marido. Percebi isso devido à grande quantidade de hematomas e marcas que a vítima apresenta na região do pescoço, perna e braços. Além disso certo dia a mesma apareceu com uma maquiagem pesada no rosto e acredito que seja para disfarçar alguma marca de hematoma no olho."
1,3,Não sei dizer em especifico,"A vítima é filha do suspeito, que não deixa a mesma sair de casa para sair com as amigas. Ela, mesmo trabalhando, não pode sair com as amigas porque o suspeito está alienando ela das próprias posses e confiscando todo seu salário. É UM ABSURDO, EU TENTEI BATER NA PORTA DELES MAS O MARIDO NÃO ABRE MAIS QUANDO VÊ QUE SOU EU. Obs.: Acredito que o marido dela possua uma arma ilegal em casa.
"
1,6,Casa da vitima,"Eu estava na casa da vitima no dia no natal quando percebi que ela sempre pedia permissão do suspeito para fazer qualquer ação. No caso eu não entendi se eles eram namorados, casados ou amigos, mas ela agia de forma bastante alterada e acuada. Perguntei o nome e endereço do suspeito para uma amiga minha que o conhece e também achou estranha a situação."
2,2,Local de trabalho da vítima perto do centro,A minha amiga se separou do suspeito faz 1 mês mas ele não aceitou bem e vive perseguindo ela pela cidade. Ele anda armado frequentemente e já ameaçou de matar ela caso ela envolvesse a polícia. Ontem ele ficou esperando ela sair do trabalho e puxou ela pelos cabelos. Ela só conseguiu sair devido à ajuda de alguns caras na rua.
2,1,Praça pública,"A vítima namora esse rapaz faz cerca de 3 meses, porém no dia 15/03 eles tiveram uma briga em praça pública e ele descontroladamente esmurrou o rosto da minha amiga até ela desmaiar. Ela não prestou Boletim pois tem medo de que isso lhe traga represálias por parte dos amigos do suspeito. Não foi possível fazer B.O ou chamar a polícia devido aos amigos fazendo pressão no restante do grupo."
2,3,Escola Municipal Charles Xavier,"Estavamos saindo da escola quando um parente da funcionária chegou derepente dando um chute nas costas da mesma. Ele saiu em disparada e no momento que nós iamos chamar o 190 a vítima, visivelmente assustada, implorou para que ninguem ligasse. Porém eu achei melhor fazer a denúncia porque as agressões do rapaz parecem ser frequentes."
2,5,Casa do suspeito no dia 15/03,Estavamos saindo com uma roda de amigos para festejar e fomos na casa do suspeito. A agressão ocorreu no final da festa devido ao fato do anfitrião não ter gostado da vitima ter derrubado sem querer um pouco de vinho num tapete da casa. Porém apenas eu vi a situação e moro muito próximo da casa do suspeito então fiquei com medo de chamar a policia (as pessoas já haviam ido embora e eu não conseguiria me defender).
2,1,Local de trabalho da vítima perto do centro,O marido da vitima tem problemas de alcoolismo e a mesma aparece sempre com novos hematomas. Ela não possui coragem de se manifestar contra o marido mas eu achei melhor realizar a denúncia para impedir que ela seja vitima homicídio ou algo do gênero.
3,3,Casa da vítima,A vítima é sobrinha do suspeito e ele frequentemente agride ela físicamente. Ela já tentou buscar ajuda com alguns familiares mas eles se recusam à acreditar nas agressões devido ao fato do suspeito ser muito querido por todos os familiares. Porém ultimamente as agressões estão se tornando mais frequentes ao ponto de deixar marcas roxas no corpo da minha amiga.
3,1,Endereço da vítima no dia dos namorados,O suspeito e a vítima são namorados e a mesma me confessionou que ele tem feito chantagem psicológica com a mesma. Ameaçando liberar fotos da mesma nua caso ela o abandone ou faça algo que o desagrade. Ela com medo não aciona a polícia por medo do vasamento das fotos mas eu já tentei convecê-la à buscar auxilio em uma Delegacia da Mulher.
3,3,Casa da vítima,O suspeito é pai da vítima e vem ameaçando ela frequentemente devido à sua posição religiosa. A mãe tenta mas não consegue impedir a situação toda. O problema é que a vítima vem apresentando nos ultimos 2 meses diversas crises de ansiedade e de pânico ao ponto de desmaiar em ambientes públicos com medo de estar sendo perseguida pelo pai. 
4,4,Ambiente de trabalho de ambos,"A vítima é secretária do suspeito que frequentemente faz brincadeiras obscenas e sugestões sexuais. A vítima não reage com medo de perder o emprego, mas fica claramente constrangida. Porém na festa de natal da empresa o mesmo fez uma ""brincadeira"" de levantar forçadamente o vestido da vitima que ficou constrangida e se retirou do local"
4,1,Não sei dizer em especifico,A vitima e o suspeito namoram à 1 mês e a mesma desabafou para alguns amigos que o namorado a estrupou num dia em que ela se recusou a ceder ao sexo devido à falta de preservativo. Houve também agressão mas a vítima não quis buscar ajuda da polícia ou registrar um B.O
6,3,Casa do suspeito no dia 15/03,"A vítima, após se divorciar de um casamento de 5 anos e ter um filho que ficou com a guarda do pai, está presa pelo irmão (suspeito) que a impede de sair de casa. Qualquer visita que toca no assunto de quando foi a última vez que a vitima saiu de casa é bruscamente interrompida e o irmão impede o tema de continuar."
