Endereço,Bairro,Cidade
Rua João Ferreira,Parque Sisi,São Carlos
Rua Raphael Manzini,Residencial Itamarati,São Carlos
Rua Enéas Camargo,Vila Monteiro (Gleba I),São Carlos
Rua Antônio Carlos Ferraz de Salles,Morada dos Deuses,São Carlos
Rua Maria das Graças Tagliatella Custódio,Cidade Aracy,São Carlos
Rua Padre Bonilha,Jardim Bandeirantes,São Carlos
Rua Waldemar Martins de Oliveira,Parque Residencial Maria Stella Faga,São Carlos
Rua Pietro Manzini,Jardim Paulista,São Carlos
Rua Cinco,Encontro Valparaíso II,São Carlos
Avenida Cientista Frederico de Marco,Vila Xavier (Vila Xavier),Araraquara
Rua Eduardo Federige,Jardim Águas do Paiol,Araraquara
Avenida América,Parque Gramado II,Araraquara
Rua Dois,Condomínio Buona Vita,Araraquara
Rua Alberto Cioni,Jardim Indaiá,Araraquara
Rua Francisco Portari,Jardim Roberto Selmi Dei,Araraquara
Avenida Domingos Sorbo,Jardim Residencial Elvio Lupo,Araraquara
Avenida Carlos Armando Fortes Vaz,Jardim Residencial Lupo II,Araraquara
Rua dos Eletricitários,Jardim Del Rei,Araraquara
Avenida Joaquim de Souza Pinheiro,Vila Yamada,Araraquara
